id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
610738,https://www.airbnb.com/rooms/610738,20231227030725,2023-12-27,city scrape,Rental unit in Genève · ★4.38 · 2 bedrooms · 2 beds · 1 bath,,,https://a0.muscache.com/pictures/83847321/28ad6bdb_original.jpg,2388229,https://www.airbnb.com/users/show/2388229,Alberto,2012-05-16,"Geneva, Switzerland",I am italian working in Geneva. I love to meet new people!,within an hour,100%,100%,f,https://a0.muscache.com/im/users/2388229/profile_pic/1347610553/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2388229/profile_pic/1347610553/original.jpg?aki_policy=profile_x_medium,,5,18,"['email', 'phone']",t,t,,Commune de Genève,,46.20118,6.13287,Entire rental unit,Entire home/apt,4,,1 bath,,2,[],$180.00,6,1125,6,6,1125,1125,6.0,1125.0,,t,25,55,85,360,2023-12-27,41,8,1,2012-08-16,2023-12-06,4.38,4.59,4.37,4.78,4.63,4.59,4.24,,f,5,5,0,0,0.30
626512,https://www.airbnb.com/rooms/626512,20231227030725,2023-12-27,city scrape,Rental unit in Geneva · ★4.97 · 1 bedroom · 2 beds · 1 bath,,Lots of restaurants and shops in the area. Lake is two blocks away,https://a0.muscache.com/pictures/10170754/3bfad7de_original.jpg,3110118,https://www.airbnb.com/users/show/3110118,Enrica,2012-07-31,"Geneva, Switzerland","I'm Italian, live in Geneva and love meeting interesting people from all the world :)
Airbnb is great, I use it myself when travelling  and would be very happy to welcome you in our flat in Geneva city center or our chalet in Chamonix!",within a day,100%,83%,t,https://a0.muscache.com/im/pictures/user/7da2d214-19cf-4bd0-ae92-173c80760c53.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/7da2d214-19cf-4bd0-ae92-173c80760c53.jpg?aki_policy=profile_x_medium,,1,6,"['email', 'phone']",t,t,"Geneva, Switzerland",Commune de Genève,,46.2114,6.15107,Entire rental unit,Entire home/apt,1,,1 bath,,2,[],$160.00,4,1120,4,10,1120,1120,9.9,1120.0,,t,9,9,9,9,2023-12-27,39,3,0,2012-09-17,2023-09-18,4.97,4.97,5.0,5.0,4.97,4.85,4.77,,f,1,1,0,0,0.28
626831,https://www.airbnb.com/rooms/626831,20231227030725,2023-12-27,city scrape,Rental unit in Geneva · ★4.33 · 1 bedroom · 1 bed · 1 bath,,,https://a0.muscache.com/pictures/7988266/cf01428d_original.jpg,3111534,https://www.airbnb.com/users/show/3111534,The Hamlet,2012-07-31,"Geneva, Switzerland","Hi, my name is Anaëlle 
I very much look forward to welcoming you to one of our beautiful apartments in Geneva Old Town.
If you have any questions, just let me know.
Anaëlle ",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/78073596-87f9-4f2d-a1c2-c29268097ec9.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/78073596-87f9-4f2d-a1c2-c29268097ec9.jpg?aki_policy=profile_x_medium,,19,24,"['email', 'phone', 'work_email']",t,t,,Commune de Genève,,46.19875,6.14861,Entire rental unit,Entire home/apt,2,,1 bath,,1,[],$400.00,1,1125,1,4,99,99,1.1,99.0,,t,0,0,0,0,2023-12-27,3,0,0,2016-05-18,2017-06-05,4.33,4.67,4.67,5.0,5.0,4.67,4.33,,t,17,17,0,0,0.03
626971,https://www.airbnb.com/rooms/626971,20231227030725,2023-12-27,city scrape,Rental unit in Geneva · 1 bedroom · 1 bed · 1 bath,,,https://a0.muscache.com/pictures/8c63d8df-f58b-44af-a2a9-f06bd716db91.jpg,3111534,https://www.airbnb.com/users/show/3111534,The Hamlet,2012-07-31,"Geneva, Switzerland","Hi, my name is Anaëlle 
I very much look forward to welcoming you to one of our beautiful apartments in Geneva Old Town.
If you have any questions, just let me know.
Anaëlle ",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/78073596-87f9-4f2d-a1c2-c29268097ec9.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/78073596-87f9-4f2d-a1c2-c29268097ec9.jpg?aki_policy=profile_x_medium,,19,24,"['email', 'phone', 'work_email']",t,t,,Commune de Genève,,46.19871,6.14912,Entire rental unit,Entire home/apt,2,,1 bath,,1,[],$400.00,1,1125,1,4,99,99,1.1,99.0,,t,0,0,0,0,2023-12-27,0,0,0,,,,,,,,,,,t,17,17,0,0,
628495,https://www.airbnb.com/rooms/628495,20231227030725,2023-12-27,city scrape,Rental unit in Genève · ★4.85 · 1 bedroom · 1 bed · 1 bath,,,https://a0.muscache.com/pictures/f615ebbc-795f-47af-88b1-67c4de02b50c.jpg,3122142,https://www.airbnb.com/users/show/3122142,Laura,2012-08-01,"Geneva, Switzerland","I am 48 years old italian who lived between Venice, London and Geneva for professional reasons. Now pursuing a new career orientation into health, meditation and reflexology. ",within an hour,100%,78%,t,https://a0.muscache.com/im/pictures/user/1234d6f2-cea9-474f-80d3-8b2f709f7302.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/1234d6f2-cea9-474f-80d3-8b2f709f7302.jpg?aki_policy=profile_x_medium,,2,7,"['email', 'phone']",t,t,,Commune de Genève,,46.2028,6.1441,Entire rental unit,Entire home/apt,2,,1 bath,,1,[],$100.00,90,1125,90,90,1125,1125,90.0,1125.0,,t,0,0,0,239,2023-12-27,73,1,0,2012-08-30,2023-04-08,4.85,4.85,4.86,4.92,4.92,4.96,4.79,,f,1,1,0,0,0.53
649023,https://www.airbnb.com/rooms/649023,20231227030725,2023-12-27,city scrape,Rental unit in Geneva · ★4.92 · 1 bedroom · 1 bed · 1 bath,,"Old Town is like a museum but people live here and it is not only a place for tourists. That's what makes Geneva Old Town so unique! You will walk the streets that famous writers, artists and scientists used to walk. Borges, Rousseau, Voltaire, Calvin, George Eliot and many many others could be your neighbours some other time in the past.",https://a0.muscache.com/pictures/fd80075d-ff34-4c6d-872f-08e3a0202574.jpg,2375758,https://www.airbnb.com/users/show/2375758,Eliora Elena,2012-05-15,"Geneva, Switzerland","Hello and thank you for dropping by my profile. I am an Israeli citizen and currently reside in Geneva, Switzerland. I work as a researcher at the University studying embryo development. I have travelled a lot, mostly in Europe. I lived in Germany for many years and also for a short time in Spain, France and England. I am very comfortable sharing apartments, having guest and accommodating different cultures, mentalities and nationalities. I am passionate about music, art, theater and anything that has to do with human creativity. I am looking forward to welcome you at my home or visit yours one day. Please, feel free to message me for any enquiries you might have. Yours Eliora",within an hour,100%,96%,t,https://a0.muscache.com/im/users/2375758/profile_pic/1337712692/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2375758/profile_pic/1337712692/original.jpg?aki_policy=profile_x_medium,,1,2,"['email', 'phone', 'work_email']",t,t,"Geneva, Switzerland",Commune de Genève,,46.20175,6.14852,Entire rental unit,Entire home/apt,2,,1 bath,,1,[],$107.00,2,21,2,2,1125,1125,2.0,1125.0,,t,20,41,66,156,2023-12-27,123,29,1,2012-09-30,2023-12-07,4.92,4.97,4.92,4.98,4.98,4.99,4.85,,f,1,1,0,0,0.90
664917,https://www.airbnb.com/rooms/664917,20231227030725,2023-12-27,city scrape,Rental unit in Geneva · ★4.89 · 1 bedroom · 2 beds · 1 bath,,"The building is located in a very safe, quite and green area. Few minutes walking to the centre.<br /><br />Near the studio you will find many restaurants, two bakeries, a post office, a grocery, a pharmacy, a gym center. A huge shopping center is located  less than 2 minutes walking distance from the studio.",https://a0.muscache.com/pictures/10024367/683d0c57_original.jpg,3359333,https://www.airbnb.com/users/show/3359333,Jean-Luc,2012-08-24,"Geneva, Switzerland","Je me réjouis de vous accueillir à Genève dans l'un de mes deux listings. Contactez-moi en cas de questions.A très bientôt
Don't hesitate to contact me for more details. See you soon",N/A,N/A,100%,t,https://a0.muscache.com/im/users/3359333/profile_pic/1346754192/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/3359333/profile_pic/1346754192/original.jpg?aki_policy=profile_x_medium,,4,4,"['email', 'phone']",t,t,"Geneva, Switzerland",Commune de Genève,,46.20542,6.12802,Entire rental unit,Entire home/apt,2,,1 bath,,2,[],$119.00,14,999,14,14,1125,1125,14.0,1125.0,,t,28,34,56,56,2023-12-27,45,4,0,2012-10-18,2023-07-13,4.89,4.88,4.93,4.95,4.98,4.79,4.74,,f,4,4,0,0,0.33
693976,https://www.airbnb.com/rooms/693976,20231227030725,2023-12-27,previous scrape,Rental unit in Geneva · ★4.90 · 2 bedrooms · 1 bed · 1 bath,,Vermont area,https://a0.muscache.com/pictures/9744862/b3044dfa_original.jpg,3550575,https://www.airbnb.com/users/show/3550575,Ramon,2012-09-12,Switzerland,"Hello to everyone ! 

The best and shortest way to describe myself is to say that I like traveling around a lot and hosting other travelers in Switzerland. This does imply different costs and time but I decided to give it a try for a while. I hope you'll enjoy your stay in this country. 

Best wishes to all of you,

Ramon",N/A,N/A,0%,f,https://a0.muscache.com/im/users/3550575/profile_pic/1367584006/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/3550575/profile_pic/1367584006/original.jpg?aki_policy=profile_x_medium,,1,3,"['email', 'phone']",t,f,"Geneva, Switzerland",Commune de Genève,,46.21716,6.13978,Entire rental unit,Entire home/apt,1,,1 bath,,1,[],$113.00,2,5,2,2,5,5,2.0,5.0,,t,0,0,0,0,2023-12-27,51,0,0,2012-09-28,2017-02-09,4.9,4.76,4.94,4.88,4.98,4.78,4.8,,f,1,1,0,0,0.37
699903,https://www.airbnb.com/rooms/699903,20231227030725,2023-12-27,previous scrape,Rental unit in Geneva · ★5.0 · 1 bedroom · 1 bed · 1 bath,,Very calm and safe neighborhood. Near everything but at the same time you will enjoy a quiet place.,https://a0.muscache.com/pictures/294a0da1-e578-409a-997a-b1bfafafe7de.jpg,3359333,https://www.airbnb.com/users/show/3359333,Jean-Luc,2012-08-24,"Geneva, Switzerland","Je me réjouis de vous accueillir à Genève dans l'un de mes deux listings. Contactez-moi en cas de questions.A très bientôt
Don't hesitate to contact me for more details. See you soon",N/A,N/A,100%,t,https://a0.muscache.com/im/users/3359333/profile_pic/1346754192/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/3359333/profile_pic/1346754192/original.jpg?aki_policy=profile_x_medium,,4,4,"['email', 'phone']",t,t,"Geneva, Switzerland",Commune de Genève,,46.2067,6.12949,Entire rental unit,Entire home/apt,2,,1 bath,,1,[],$70.00,999,1000,999,999,1125,1125,999.0,1125.0,,t,29,59,89,89,2023-12-27,4,1,0,2019-12-24,2023-02-05,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,t,4,4,0,0,0.08
706264,https://www.airbnb.com/rooms/706264,20231227030725,2023-12-27,city scrape,Rental unit in Geneva · ★4.77 · 1 bedroom · 2 beds · 1 bath,,"Le quartier le plus vivant et animé de Genève, entre la gare centrale, le lac et les organisations internationales",https://a0.muscache.com/pictures/1341d00f-3566-462c-be49-158aa1ee4014.jpg,3629403,https://www.airbnb.com/users/show/3629403,Louis,2012-09-20,"Geneva, Switzerland","",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/109ad57a-f28e-4b0a-a199-f03123b798dd.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/109ad57a-f28e-4b0a-a199-f03123b798dd.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Geneva, Switzerland",Commune de Genève,,46.211998,6.150082,Entire rental unit,Entire home/apt,4,,1 bath,,2,[],$137.00,4,60,4,4,1125,1125,4.0,1125.0,,t,7,21,48,265,2023-12-27,137,28,1,2013-03-25,2023-12-08,4.77,4.81,4.81,4.86,4.85,4.85,4.66,,f,1,1,0,0,1.05
